--------------------------------------------------
Begin Training Report
--------------------------------------------------
Epoch [159/200]	Loss: 2.5081
Epoch [160/200]	Loss: 2.5343
Epoch [161/200]	Loss: 2.5240
Epoch [162/200]	Loss: 2.5038
Epoch [163/200]	Loss: 2.5134
Epoch [164/200]	Loss: 2.5262
Epoch [165/200]	Loss: 2.4930
Epoch [166/200]	Loss: 2.5339
Epoch [167/200]	Loss: 2.4957
Epoch [168/200]	Loss: 2.4913
Epoch [169/200]	Loss: 2.4923
Epoch [170/200]	Loss: 2.4614
Epoch [171/200]	Loss: 2.4860
Epoch [172/200]	Loss: 2.5316
Epoch [173/200]	Loss: 2.4936
Epoch [174/200]	Loss: 2.4937
Epoch [175/200]	Loss: 2.5434
Epoch [176/200]	Loss: 2.4588
Epoch [177/200]	Loss: 2.4789
Epoch [178/200]	Loss: 2.4572
Epoch [179/200]	Loss: 2.4669
Epoch [180/200]	Loss: 2.4990
Epoch [181/200]	Loss: 2.4646
Epoch [182/200]	Loss: 2.4973
Epoch [183/200]	Loss: 2.5173
Epoch [184/200]	Loss: 2.4257
Epoch [185/200]	Loss: 2.4390
Epoch [186/200]	Loss: 2.4623
Epoch [187/200]	Loss: 2.4986
Epoch [188/200]	Loss: 2.4296
Epoch [189/200]	Loss: 2.4541
Epoch [190/200]	Loss: 2.4477
Epoch [191/200]	Loss: 2.4698
Epoch [192/200]	Loss: 2.4359
Epoch [193/200]	Loss: 2.4393
Epoch [194/200]	Loss: 2.4128
Epoch [195/200]	Loss: 2.4486
Epoch [196/200]	Loss: 2.4299
Epoch [197/200]	Loss: 2.4055
Epoch [198/200]	Loss: 2.4234
Epoch [199/200]	Loss: 2.4310
Epoch [200/200]	Loss: 2.4682
--------------------------------------------------
End Training Report
--------------------------------------------------
